	c-value	ngram
199	11.5	при_pr какой_a значение_s
206	11.461538461538462	линейный_a однородный_a уравнение_s
172	11.454545454545455	также_adv доказать_v что_conj
165	11.333333333333332	в_pr унитарный_a пространство_s
149	11.25	доказать_v что_conj многочлен_s
186	11.183673469387756	бесконечный_a число_s элемент_s
184	11.0	решение_s дифференциальный_a уравнение_s
256	11.0	матрица_s квадратичный_a форма_s
181	11.0	векторный_a произведение_s вектор_s
319	11.0	с_pr точность_s до_pr
316	11.0	малый_a теорема_s ферма_s
330	11.0	линейный_a оператор_s иметь_v
350	11.0	л_sв_pr прямой_a плоскость_s
325	11.0	следовать_v из_pr определение_s
135	11.0	умножение_s на_pr число_s
348	11.0	в_pr координатный_a представление_s
333	11.0	можно_adv рассматривать_v как_conj
230	11.0	каждый_a из_pr который_a
328	11.0	произведение_s линейный_a оператор_s
326	11.0	неравенство_s коши_s буняковский_a
200	10.923076923076923	в_pr каждый_a из_pr
188	10.75	определение_s функция_s называться_v
236	10.75	один_a из_pr он
201	10.681818181818182	алгоритм_s евклид_s основной_a
132	10.6	расстояние_s от_pr точка_s
213	10.5	исследовать_v на_pr сходимость_s
185	10.5	иметь_v в_pr точка_s
154	10.5	принимать_v во_pr внимание_s
215	10.456521739130434	число_s элемент_s множество_s
231	10.333333333333334	уравнение_s доказать_v что_conj
133	10.333333333333332	от_pr точка_s до_pr
202	10.32	евклид_s основной_a теорема_s
223	10.25	вычет_s по_pr модуль_s
211	10.25	область_s допустимый_a значение_s
157	10.25	в_pr декартовый_a система_s
170	10.2	от_pr деление_s на_pr
233	10.181818181818182	что_conj доказать_v что_conj
187	10.181818181818182	условие_s следовать_v что_conj
227	10.136363636363637	в_pr один_a из_pr
170	10.069805135349334	аналитический_a геометрия_s линейный_a алгебра_s
71	10.069805135349334	аналитический_a геометрия_s линейный_a алгебра_s
385	10.0	линейно_adv независимый_a вектор_s
238	10.0	иметь_v вид_s где_adv
412	10.0	в_pr любой_a базис_s
383	10.0	в_pr матричный_a вид_s
405	10.0	что_conj то есть_adv
398	10.0	дифференциальный_a исчисление_s функция_s
415	10.0	глава_s прямой_a плоскость_s
393	10.0	уравнение_s плоскость_s в_pr
418	10.0	л_sв_pr линейный_a пространство_s
286	10.0	для_pr каждый_a из_pr
419	10.0	линейный_a функционал_s в_pr
371	10.0	мочь_v быть_v получить_partcp
275	10.0	который_a делиться_v на_pr
365	10.0	точка_s с_pr координата_s
417	10.0	мочь_v быть_v задать_partcp
389	10.0	в_pr некоторый_a базис_s
376	10.0	в_pr точка_s по_pr
225	10.0	точка_s на_pr плоскость_s
141	10.0	ортонормированный_a базис_s в_pr
212	9.8	качестве_pr пример_s решить_v
159	9.8	функция_s непрерывный_a в_pr
237	9.761904761904763	система_s вычет_s по_pr
270	9.75	если_conj известно_adv что_conj
241	9.75	точка_s лежать_partcp на_pr
228	9.75	доказать_v равенство_s б_part
122	9.75	однородный_a система_s линейный_a
253	9.75	вектор_s линейно_adv независимый_a
251	9.75	частный_a решение_s неоднородный_a
175	9.666666666666668	с_pr центр_s в_pr
281	9.625	уравнение_s иметь_v решение_s
192	9.571428571428571	оператор_s действовать_partcp в_pr
279	9.5	один_a из_pr число_s
85	9.5	базис_s к_pr базис_s
81	9.5	л_sв_pr система_s линейный_a
261	9.5	в_pr точка_s функция_s
224	9.5	равенство_s доказать_v что_conj
203	9.444444444444445	определение_s пусть_part функция_s
163	9.444444444444445	базис_s к_pr другой_a
265	9.4	теорема_s если_conj функция_s
242	9.333333333333334	точка_s являться_v точка_s
272	9.333333333333334	то есть_adv для_pr
53	9.333333333333334	γ_γ γ_γ γ_γ
303	9.333333333333334	с_pr постоянный_a коэффициент_s
179	9.272727272727273	если_conj если_conj если_conj
254	9.2	такой_a что_conj для_pr
210	9.2	в_pr полярный_a система_s
195	9.166666666666668	представить_partcp в виде_pr
258	9.166666666666666	чем_conj сущность_s метод_s
240	9.166666666666666	записать_partcp в виде_pr
226	9.142857142857142	на_pr один_a прямая_s
509	9.0	симметричный_a билинейный_a функционал_s
221	9.0	линейный_a пространство_s линейный_a
291	9.0	воспользоваться_v результат_s задача_s
423	9.0	доказать_v что_conj среди_pr
204	9.0	к_pr диагональный_a вид_s
307	9.0	если_conj ряд_s расходиться_v
234	9.0	доказать_v что_conj уравнение_s
176	9.0	быть_v говорить_v что_conj
273	9.0	доказать_v что_conj в_pr
463	9.0	линия_s на_pr плоскость_s
504	9.0	равенство_s означать_v что_conj
467	9.0	решение_s система_s уравнение_s
469	9.0	в_pr данный_a случай_s
477	9.0	і_і т_s і_і
456	9.0	для_pr любой_a элемент_s
483	9.0	линейно_adv независимый_a решение_s
448	9.0	такой_a что_conj тогда_adv
485	9.0	частный_a производный_a функция_s
216	9.0	из_pr условие_s следовать_v
257	9.0	плоскость_s проходить_partcp через_pr
446	9.0	решить_v система_s уравнение_s
434	9.0	в_pr явный_a вид_s
486	9.0	производная_s по_pr направление_s
487	9.0	ряд_s сходиться_v абсолютно_adv
489	9.0	бесконечно_adv малый_a последовательность_s
499	9.0	из_pr следовать_v что_conj
500	9.0	теорема_s доказать_partcp замечание_s
424	9.0	записываться_v в виде_pr
277	8.916666666666666	точка_s лежать_v на_pr
318	8.857142857142858	доказать_v что_conj из_pr
317	8.666666666666666	доказать_v что_conj весь_a
229	8.6	мочь_v быть_v представить_partcp
110	8.571428571428571	от_pr базис_s к_pr
239	8.5625	быть_v записать_partcp в
308	8.545454545454545	ряд_s сходиться_v если_conj
332	8.526315789473685	часть_s уравнение_s на_pr
266	8.5	что_conj в_pr сила_s
263	8.5	в_pr матричный_a форма_s
278	8.375	с_pr вершина_s в_pr
271	8.333333333333334	весь_a натуральный_a число_s
284	8.333333333333334	при_pr деление_s на_pr
137	8.25	переход_s от_pr базис_s
335	8.222222222222221	привести_partcp квадратный_a уравнение_s
320	8.176470588235293	алгоритм_s евклид_s для_pr
274	8.142857142857142	для_pr любой_a натуральный_a
243	8.142857142857142	наименьший_a значение_s функция_s
359	8.0	формула_s включение_s исключение_s
533	8.0	в_pr точка_s теорема_s
524	8.0	в противном случае_adv
632	8.0	подпространство_s линейный_a пространство_s
523	8.0	поставить_v в_pr соответствие_s
631	8.0	линейный_a комбинация_s элемент_s
520	8.0	см также_adv пусть_part
518	8.0	доказать_v что_conj существовать_v
515	8.0	на_pr один_a из_pr
461	8.0	а_s а_s т_s о_s
512	8.0	множество_s называться_v множество_s
511	8.0	элементарный_a преобразование_s матрица_s
623	8.0	теорема_s доказать_partcp определение_s
615	8.0	первый_a признак_s сравнение_s
598	8.0	на_pr конец_s отрезок_s
599	8.0	интегральный_a исчисление_s фуниция_s
381	8.0	линейный_a комбинация_s остальной_a
603	8.0	ряд_s сходиться_v при_pr
537	8.0	на_pr отрезок_s иметь_v
366	8.0	который_a мочь_v быть_v
604	8.0	на_pr отрезок_s если_conj
629	8.0	являться_v линейный_a пространство_s
606	8.0	заметить_v что_conj если_conj
628	8.0	линейный_a пространство_s определение_s
610	8.0	равномерно_adv непрерывный_a на_pr
624	8.0	координатный_a представление_s линейный_a
611	8.0	в_pr точка_s существовать_v
584	8.0	нетривиальный_a линейный_a комбинация_s
565	8.0	весь_a собственный_a значение_s
589	8.0	у_pr у_pr у_pr
591	8.0	точка_s называться_v точка_s
553	8.0	столбец_s свободный_a член_s
558	8.0	свойство_s скалярный_a произведение_s
563	8.0	линейный_a пространство_s называться_v
285	8.0	корень_s доказать_v что_conj
578	8.0	в отличие от_pr
177	8.0	если_conj найтись_v такой_a
580	8.0	интегральный_a исчисление_s лекция_s
586	8.0	второй_a порядок_s в_pr
322	8.0	на_pr комплексный_a плоскость_s
306	8.0	точка_s локальный_a экстремум_s
551	8.0	минор_s го_s порядок_s
556	8.0	вектор_s линейно_adv зависимый_a
550	8.0	если_conj существовать_v такой_a
566	8.0	кривая_s второй_a порядок_s
547	8.0	матрица_s называться_v матрица_s
543	8.0	уравнение_s первый_a степень_s
541	8.0	правый_a часть_s уравнение_s
583	8.0	пример_s решить_v у_pr
540	8.0	мочь_v быть_v только_part
593	8.0	в_pr предположение_s что_conj
296	8.0	угол_s между_pr вектор_s
300	8.0	а_s а_s т_s о_s
590	8.0	дифференцировать_partcp на_pr отрезок_s
555	8.0	ввести_v в_pr рассмотрение_s
295	7.9375	система_s координата_s уравнение_s
517	7.911158927245322	тогда_adv только_part тогда_adv когда_conj
421	7.911158927245322	тогда_adv только_part тогда_adv когда_conj
310	7.75	функция_s определить_partcp на_pr
337	7.75	произведение_s вектор_s в_pr
571	7.74416109557041	о_pr а_s а_s т_s
301	7.74416109557041	о_pr а_s а_s т_s
301	7.666666666666667	м получить_v эквивалентный_a
298	7.666666666666667	значение_s линейный_a оператор_s
364	7.619047619047619	какой_a значение_s параметр_s
356	7.619047619047619	неравенство_s между_pr средний_a
280	7.6	что_conj при_pr выполняться_v
341	7.545454545454545	точка_s множество_s если_conj
245	7.5	значение_s функция_s в_pr
336	7.5	в_pr математический_a анализ_s
283	7.5	взаимно_adv однозначный_a соответствие_s
275	7.466122821236257	о_pr а_s а_s т_s о_s
559	7.466122821236257	о_pr а_s а_s т_s о_s
444	7.466122821236257	о_pr а_s а_s т_s о_s
384	7.461538461538462	система_s линейный_a однородный_a
292	7.4	в виде_pr линейный_a
255	7.375	сложение_s умножение_s на_pr
372	7.333333333333334	уравнение_s в виде_pr
363	7.333333333333334	число_s являться_v решение_s
304	7.2	функция_s иметь_v в_pr
353	7.198779864114497	зависимость_s в_pr линейный_a пространство_s
635	7.198779864114497	зависимость_s в_pr линейный_a пространство_s
394	7.166666666666666	уравнение_s принимать_v вид_s
247	7.111111111111111	школа_s в_pr математика_s
355	7.090909090909091	можно_adv представить_v в
691	7.0	в_pr случай_s когда_conj
675	7.0	для_pr любой_a существовать_v
677	7.0	начальный_a условие_s рекуррентный_a
678	7.0	начало_s координата_s в_pr
681	7.0	так же_adv как_adv
685	7.0	многочлен_s фибоначчи_s люк_s
686	7.0	для_pr решение_s задача_s
688	7.0	что_conj противоречить_v условие_s
390	7.0	из_pr собственный_a вектор_s
666	7.0	в том числе_adv
692	7.0	задача_s сводиться_v к_pr
693	7.0	левый_a правый_a часть_s
696	7.0	последовательность_s сходиться_v к_pr
699	7.0	число_s многочлен_sк_pr журнал_s
701	7.0	лежать_v в_pr плоскость_s
703	7.0	определитель_s равный_a нуль_s
672	7.0	формула_s сокращенный_a умножение_s
661	7.0	являться_v частный_a случай_s
663	7.0	обладать_v следующий_a свойство_s
706	7.0	прямоугольный_a система_s координата_s
660	7.0	функция_s определенный_a на_pr
658	7.0	что_conj для_pr каждый_a
653	7.0	найти_v весь_a такой_a
645	7.0	число_s таков_a что_conj
642	7.0	сборник_s задача_s по_pr
640	7.0	возведение_s в_pr степень_s
220	7.0	линейный_a пространство_s в_pr
205	7.0	система_s линейный_a алгебраический_a
288	7.0	точка_s такой_a что_conj
302	7.0	линейный_a дифференциальный_a уравнение_s
182	7.0	показать_v что_conj если_conj
327	7.0	квадратный_a матрица_s порядок_s
339	7.0	частичный_a сумма_s ряд_s
704	7.0	являться_v линейный_a комбинация_s
707	7.0	свойство_s векторный_a произведение_s
464	7.0	кривой_a второй_a порядок_s
708	7.0	линейный_a векторный_a пространство_s
737	7.0	какой_a уравнение_s называться_v
738	7.0	из_pr первый_a уравнение_s
739	7.0	система_s линейный_a неравенство_s
740	7.0	что_conj по_pr определение_s
777	7.0	элемент_s исходный_a ряд_s
742	7.0	дифференциальный_a уравнение_s лекция_s
743	7.0	у_pr ж_part у_pr
776	7.0	что_conj теорема_s доказать_partcp
745	7.0	вопрос_s как_adv выглядеть_v
775	7.0	непрерывный_a на_pr функция_s
774	7.0	иметь_v место_s теорема_s
773	7.0	функция_s многий_a переменный_a
749	7.0	тангенс_s угол_s наклон_s
750	7.0	неявно_adv заданный_a функция_s
756	7.0	общий_a член_s ряд_s
736	7.0	при_pr м получить_v
780	7.0	вычисление_s криволинейный_a интеграл_s
734	7.0	уравнение_s м получить_v
798	7.0	глава_s линейный_a пространство_s
710	7.0	ставить_partcp в_pr соответствие_s
716	7.0	в_pr новый_a базис_s
720	7.0	собственный_a значение_s оператор_s
810	7.0	л_sв_pr унитарный_a пространство_s
803	7.0	функционал_s в_pr базис_s
724	7.0	в_pr общий_a вид_s
796	7.0	состоять_v из_pr элемент_s
782	7.0	операция_s с_pr матрица_s
727	7.0	нормальный_a вектор_s плоскость_s
794	7.0	линейный_a однородный_a оператор_s
791	7.0	иметь_v канонический_a вид_s
788	7.0	система_s координата_s к_pr
731	7.0	многочлен_s на_pr одночлен_s
787	7.0	формула_s переход_s от_pr
753	7.0	необходимый_a условие_s экстремум_s
754	7.0	точка_s условный_a экстремум_s
421	7.0	множество_s состоять_partcp из_pr
453	7.0	коэффициент_s при_pr неизвестный_a
447	7.0	быть_v считать_v что_conj
454	7.0	если_conj он иметь_v
400	7.0	интеграл_s от_pr функция_s
443	7.0	проходить_v через_pr точка_s
457	7.0	можно_adv показать_v что_conj
1386	6.977279923499917	л_sв_pr вектор_s линейный_a операция_s с_pr он
1007	6.977279923499917	л_sв_pr вектор_s линейный_a операция_s с_pr он
1301	6.977279923499917	л_sв_pr вектор_s линейный_a операция_s с_pr он
1306	6.977279923499917	л_sв_pr вектор_s линейный_a операция_s с_pr он
302	6.872828759534886	о_s а_s а_s т_s
818	6.872828759534886	о_s а_s а_s т_s
968	6.854423175714383	линейный_a зависимость_s в_pr линейный_a пространство_s
473	6.833333333333334	система_s коорди_s нат_s
1252	6.832890014164741	глава_s линейный_a зависимость_s в_pr линейный_a пространство_s
623	6.832890014164741	глава_s линейный_a зависимость_s в_pr линейный_a пространство_s
341	6.832890014164741	глава_s линейный_a зависимость_s в_pr линейный_a пространство_s
961	6.832890014164741	глава_s линейный_a зависимость_s в_pr линейный_a пространство_s
906	6.814696897398772	а_s а_s т_s о_pr
303	6.814696897398772	а_s а_s т_s о_pr
289	6.8	без_pr ограничение_s общность_s
425	6.75	такой_a число_s что_conj
444	6.75	уравнение_s система_s уравнение_s
347	6.7369655941662066	линейный_a зависимость_s в_pr линейный_a пространство_s
629	6.7369655941662066	линейный_a зависимость_s в_pr линейный_a пространство_s
931	6.672425341971495	линейный_a алгебра_s аналитический_a геометрия_s
934	6.672425341971495	линейный_a алгебра_s аналитический_a геометрия_s
344	6.666666666666667	малый_a функция_s при_pr
343	6.666666666666667	бесконечно_adv малый_a функция_s
395	6.666666666666666	выражение_s с_pr переменный_a
1874	6.614709844115208	в_pr нелинейный_a объект_s на_pr плоскость_s в_pr пространство_s
1003	6.614709844115208	в_pr нелинейный_a объект_s на_pr плоскость_s в_pr пространство_s
2086	6.614709844115208	в_pr нелинейный_a объект_s на_pr плоскость_s в_pr пространство_s
1544	6.614709844115208	в_pr нелинейный_a объект_s на_pr плоскость_s в_pr пространство_s
2336	6.614709844115208	в_pr нелинейный_a объект_s на_pr плоскость_s в_pr пространство_s
1031	6.612605255790285	линия_s второй_a порядок_s на_pr плоскость_s
583	6.612605255790285	линия_s второй_a порядок_s на_pr плоскость_s
1045	6.612605255790285	линия_s второй_a порядок_s на_pr плоскость_s
190	6.6	вид_s аналитический_a геометрия_s
362	6.583333333333334	найти_v остаток_s от_pr
480	6.571428571428571	предел_s интегральный_a сумма_s
331	6.5	уравнение_s прямой_a в_pr
346	6.5	к_pr заключение_s что_conj
429	6.5	равенство_s см также_adv
297	6.5	во_pr внимание_s что_conj
269	6.5	бы_adv один_a из_pr
445	6.491853096329675	о_s а_s а_s т_s о_s
813	6.491853096329675	о_s а_s а_s т_s о_s
276	6.491853096329675	о_s а_s а_s т_s о_s
248	6.454545454545454	в_pr математика_s арифметика_s
720	6.4329594072761065	линейный_a уравнение_s с_pr неизвестный_a
889	6.4329594072761065	линейный_a уравнение_s с_pr неизвестный_a
973	6.406964198743162	линейный_a зависимость_s в_pr линейный_a
315	6.4	лекция_s система_s линейный_a
630	6.399930606888636	глава_s линейный_a зависимость_s в_pr линейный_a
1257	6.399930606888636	глава_s линейный_a зависимость_s в_pr линейный_a
969	6.399930606888636	глава_s линейный_a зависимость_s в_pr линейный_a
309	6.375	т_s о_pr пусть_part
435	6.375	число_s дробь_s система_s
277	6.339850002884624	о_pr а_s а_s т_s о_pr
560	6.339850002884624	о_pr а_s а_s т_s о_pr
900	6.339850002884624	о_pr а_s а_s т_s о_pr
430	6.333333333333334	пусть_part простой_s число_s
338	6.333333333333333	производная_s в_pr точка_s
1551	6.321928094887363	прил_s элемент_s тензорный_a исчисление_s
1402	6.321928094887363	прил_s элемент_s тензорный_a исчисление_s
228	6.313890775821944	система_s линейный_a уравнение_s с_pr
721	6.313890775821944	система_s линейный_a уравнение_s с_pr
636	6.309855262586788	линейный_a зависимость_s в_pr линейный_a
1396	6.308989039179864	доказать_partcp аналитический_a геометрия_s линейный_a алгебра_s
20	6.308989039179864	доказать_partcp аналитический_a геометрия_s линейный_a алгебра_s
113	6.308989039179864	доказать_partcp аналитический_a геометрия_s линейный_a алгебра_s
716	6.303780748177103	система_s линейный_a уравнение_s с_pr неизвестный_a
887	6.303780748177103	система_s линейный_a уравнение_s с_pr неизвестный_a
215	6.303780748177103	система_s линейный_a уравнение_s с_pr неизвестный_a
357	6.3	лежать_v на_pr один_a
2599	6.285402218862249	в_pr нелинейный_a зависимость_s в_pr линейный_a пространство_s
1748	6.285402218862249	в_pr нелинейный_a зависимость_s в_pr линейный_a пространство_s
624	6.285402218862249	в_pr нелинейный_a зависимость_s в_pr линейный_a пространство_s
342	6.285402218862249	в_pr нелинейный_a зависимость_s в_pr линейный_a пространство_s
700	6.2647032261944124	доказать_v что_conj для_pr любой_a
804	6.2647032261944124	доказать_v что_conj для_pr любой_a
360	6.25	что_conj если_conj число_s
323	6.25	виде_pr линейный_a комбинация_s
1316	6.247927513443585	л_sв_pr система_s линейный_a уравнение_s
229	6.247927513443585	л_sв_pr система_s линейный_a уравнение_s
1036	6.222392421336448	второй_a порядок_s на_pr плоскость_s
1047	6.222392421336448	второй_a порядок_s на_pr плоскость_s
436	6.1875	дробь_s система_s счисление_s
2100	6.129283016944966	л_sв_pr прикладной_a задача_s линейный_a алгебра_s
1852	6.129283016944966	л_sв_pr прикладной_a задача_s линейный_a алгебра_s
2342	6.129283016944966	л_sв_pr прикладной_a задача_s линейный_a алгебра_s
1037	6.115477217419936	линия_s второй_a порядок_s на_pr
588	6.115477217419936	линия_s второй_a порядок_s на_pr
96	6.108524456778169	теорема_s доказать_partcp аналитический_a геометрия_s линейный_a алгебра_s
2078	6.108524456778169	теорема_s доказать_partcp аналитический_a геометрия_s линейный_a алгебра_s
5	6.108524456778169	теорема_s доказать_partcp аналитический_a геометрия_s линейный_a алгебра_s
1391	6.108524456778169	теорема_s доказать_partcp аналитический_a геометрия_s линейный_a алгебра_s
1131	6.087462841250339	можно_adv записать_v в виде_pr
1521	6.087462841250339	можно_adv записать_v в виде_pr
230	6.0630097975258	решение_s система_s линейный_a уравнение_s
986	6.0630097975258	решение_s система_s линейный_a уравнение_s
974	6.025535092107138	глава_s линейный_a зависимость_s в_pr
1262	6.025535092107138	глава_s линейный_a зависимость_s в_pr
449	6.0	уравнение_s иметь_v вид_s
845	6.0	какой_a должный_a быть_v
914	6.0	где_adv некоторый_a число_s
913	6.0	вектор_s называться_v вектор_s
912	6.0	для_pr любой_a вектор_s
910	6.0	в_pr результат_s получить_v
844	6.0	доказать_v что_conj любой_a
909	6.0	основной_a матрица_s система_s
916	6.0	вектор_s в_pr пространство_s
843	6.0	что_conj число_s являться_v
908	6.0	второй_a уравнение_s система_s
842	6.0	результат_s предыдущий_a задача_s
380	6.0	определитель_s квадратный_a матрица_s
838	6.0	число_s также_adv быть_v
915	6.0	точка_s на_pr ось_s
922	6.0	в_pr данный_a базис_s
921	6.0	базис_s в_pr сила_s
855	6.0	мультипликативность_s функция_s эйлер_s
923	6.0	линейный_a оператор_s называться_v
928	6.0	отвечать_partcp собственный_a значение_s
853	6.0	быть_v полный_a квадрат_s
428	6.0	число_s взаимно_adv простой_a
929	6.0	квадратичный_a форма_s в_pr
847	6.0	который_a состоять_v из_pr
930	6.0	форма_s иметь_v вид_s
399	6.0	замена_s переменный_a в_pr
